mtry,min.node.size,splitrule,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD,index,best
2,1,variance,0.39,0.45,0.3,0.01,0.07,0,fun_disp,FALSE
2,10,variance,0.39,0.46,0.3,0.01,0.07,0,fun_disp,FALSE
4,1,variance,0.39,0.45,0.3,0.01,0.07,0.01,fun_disp,FALSE
4,5,variance,0.39,0.45,0.3,0.01,0.07,0.01,fun_disp,FALSE
4,10,variance,0.39,0.45,0.3,0.01,0.07,0,fun_disp,FALSE
6,1,variance,0.39,0.45,0.3,0.01,0.07,0.01,fun_disp,FALSE
6,5,variance,0.39,0.45,0.3,0.01,0.07,0.01,fun_disp,FALSE
6,10,variance,0.39,0.45,0.3,0.01,0.07,0.01,fun_disp,FALSE
8,1,variance,0.39,0.44,0.3,0.01,0.08,0.01,fun_disp,FALSE
8,5,variance,0.39,0.44,0.3,0.01,0.08,0.01,fun_disp,FALSE
8,10,variance,0.39,0.44,0.3,0.01,0.08,0.01,fun_disp,FALSE
10,1,variance,0.39,0.44,0.3,0.01,0.07,0,fun_disp,FALSE
10,5,variance,0.39,0.44,0.3,0.01,0.07,0.01,fun_disp,FALSE
10,10,variance,0.39,0.44,0.3,0.01,0.08,0.01,fun_disp,FALSE
12,1,variance,0.39,0.43,0.3,0.01,0.07,0.01,fun_disp,FALSE
12,5,variance,0.39,0.44,0.3,0.01,0.07,0.01,fun_disp,FALSE
12,10,variance,0.39,0.44,0.3,0.01,0.07,0.01,fun_disp,FALSE
2,5,variance,0.39,0.46,0.3,0.01,0.06,0,fun_disp,TRUE
2,1,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
2,5,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
4,1,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
4,5,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
4,10,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
6,1,variance,0.06,0.08,0.04,0,0.06,0,fun_div,FALSE
6,5,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
6,10,variance,0.06,0.08,0.04,0,0.06,0,fun_div,FALSE
8,1,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
8,5,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
8,10,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
10,1,variance,0.06,0.08,0.04,0,0.06,0,fun_div,FALSE
10,5,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
10,10,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
12,1,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
12,5,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
12,10,variance,0.06,0.08,0.04,0,0.05,0,fun_div,FALSE
2,10,variance,0.06,0.08,0.04,0,0.05,0,fun_div,TRUE
2,1,variance,0.11,0.11,0.08,0,0.06,0,fun_even,FALSE
2,5,variance,0.11,0.11,0.08,0,0.05,0,fun_even,FALSE
2,10,variance,0.11,0.11,0.08,0,0.07,0,fun_even,FALSE
4,5,variance,0.11,0.12,0.08,0,0.06,0,fun_even,FALSE
4,10,variance,0.11,0.11,0.08,0,0.06,0,fun_even,FALSE
6,1,variance,0.11,0.13,0.08,0,0.06,0,fun_even,FALSE
6,5,variance,0.11,0.12,0.08,0,0.06,0,fun_even,FALSE
6,10,variance,0.11,0.12,0.08,0,0.06,0,fun_even,FALSE
8,1,variance,0.11,0.12,0.08,0,0.06,0,fun_even,FALSE
8,5,variance,0.11,0.13,0.08,0,0.07,0,fun_even,FALSE
8,10,variance,0.11,0.12,0.08,0,0.07,0,fun_even,FALSE
10,1,variance,0.11,0.13,0.08,0,0.06,0,fun_even,FALSE
10,5,variance,0.11,0.13,0.08,0,0.06,0,fun_even,FALSE
10,10,variance,0.11,0.12,0.08,0,0.07,0,fun_even,FALSE
12,1,variance,0.11,0.13,0.08,0,0.07,0,fun_even,FALSE
12,5,variance,0.11,0.12,0.08,0,0.06,0,fun_even,FALSE
12,10,variance,0.11,0.12,0.08,0,0.08,0,fun_even,FALSE
4,1,variance,0.1,0.13,0.08,0,0.06,0,fun_even,TRUE
