variable,Dim.1,Dim.2,Dim.3
annual_mean_temperature,0.925,NA,NA
max_temperature_of_warmest_month,0.763,NA,NA
min_temperature_of_coldest_month,0.92,NA,NA
mean_temperature_of_coldest_quarter,0.917,NA,NA
mean_temperature_of_warmest_quarter,0.835,NA,NA
annual_precipitation,NA,NA,0.59
precipitation_of_driest_quarter,NA,NA,0.365
precipitation_of_wettest_quarter,NA,NA,0.586
precipitation_of_coldest_quarter,NA,NA,0.594
precipitation_of_warmest_quarter,NA,NA,0.143
sand_content_015cm,NA,-0.843,NA
sand_content_060cm,NA,-0.805,NA
water_capacity_015cm,NA,0.704,NA
water_capacity_060cm,NA,0.775,NA
