standage,yhat,yhat_mean,yhat_lower,yhat_upper,group,trait,variable,rsq
0,-0.599882221048227,-0.599882221048227,-0.9804677250642786,0.09641208599543914,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
3,-0.5960695778387379,-0.5960695778387379,-0.9728041176614015,0.10283174637960565,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
6,-0.6115807161329334,-0.6115807161329334,-0.9991404220209925,0.11794859703647231,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
9,-0.6430135237276984,-0.6430135237276984,-1.0525166313766778,0.1431951604647243,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
12,-0.6476645288102776,-0.6476645288102776,-1.070288010401406,0.2020973059834994,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
15,-0.6532241866578578,-0.6532241866578578,-1.0874712530609367,0.20196487431198323,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
18,-0.6550030478481504,-0.6550030478481504,-1.0943438761564042,0.1994773310754507,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
21,-0.6553799682036608,-0.6553799682036608,-1.0939209728986141,0.1794208458033411,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
24,-0.6561801782121814,-0.6561801782121814,-1.095990670365876,0.16640491422299167,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
27,-0.6591214807822436,-0.6591214807822436,-1.0966573850796777,0.14301256597795273,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
30,-0.6580214910903364,-0.6580214910903364,-1.09501921868828,0.12434894144758273,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
33,-0.6568644037254139,-0.6568644037254139,-1.0934102204411935,0.10183227836673962,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
36,-0.6568237834253463,-0.6568237834253463,-1.0880693911187909,0.07708743574371371,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
39,-0.6551695515359435,-0.6551695515359435,-1.0831500591470973,0.0705565375346897,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
42,-0.6539027668191342,-0.6539027668191342,-1.0698383152729252,-5.40765170532978e-4,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
45,-0.6510441365570574,-0.6510441365570574,-1.0617872347119173,-0.017084371877870975,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
48,-0.6482721085447477,-0.6482721085447477,-1.0485660114004538,-0.02286852294818411,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
51,-0.6379588793178648,-0.6379588793178648,-1.045751182318598,-0.0333549813377638,Cold Temperatures (Lower 25%),wood_density,Temperature (PC),0.6096011901248438
