"","trait","group","intercept","slope","sd_yhat","delta","r_squared"
"1","bark_thickness","Cold Temperatures (Lower 25%)",-0.00931209875194488,0.00123932169480765,0.0713290240601001,0.185898254221147,0.600440978112595
"2","bark_thickness","High Elevation (Upper 25%)",0.571857939906639,-0.000143788167110569,0.0150548289109057,-0.0215682250665854,0.181438492906815
"3","bark_thickness","High Precipitation (Upper 25%)",0.142267281068485,1.50412317880514e-05,0.0101603996065762,0.00225618476820771,0.00435893118539619
"4","bark_thickness","High Soil pH (Upper 25%)",0.561253886842077,0.000371962744689204,0.0256259899793897,0.0557944117033806,0.419056292654661
"5","bark_thickness","Low Elevation (Lower 25%)",0.477896062748334,-0.00069432471002031,0.0458396750112183,-0.104148706503046,0.456327840788127
"6","bark_thickness","Low Precipitation (Lower 25%)",0.51255717539092,-0.000131300560126444,0.0381867311907661,-0.0196950840189666,0.0235148911397628
"7","bark_thickness","Low Soil pH (Lower 25%)",0.327286085147345,-0.00050243971604468,0.0353432336786958,-0.075365957406702,0.401966760511456
"8","bark_thickness","Sandy Soils (Lower 25%)",0.386870916616056,-0.000437935877842974,0.0339348028425469,-0.065690381676446,0.331257084216768
"9","bark_thickness","Warm Temperatures (Upper 25%)",0.596209082572917,-0.000953514256500656,0.0534789231192097,-0.143027138475098,0.632300984111387
"10","bark_thickness","Water-Retentive Soils (Upper 25%)",0.36540395488905,0.000700851346886091,0.0334751654124835,0.105127702032914,0.871848740198723
"11","conduit_diam","Cold Temperatures (Lower 25%)",-0.501297985151901,-0.00248820049043463,0.121451228551194,-0.373230073565195,0.834837023911548
"12","conduit_diam","High Elevation (Upper 25%)",-0.526794046361235,-0.000296857512326079,0.0179813912858844,-0.0445286268489118,0.542106091417006
"13","conduit_diam","High Precipitation (Upper 25%)",-0.222846679136722,-0.000125245887564569,0.0101331314477889,-0.0187868831346853,0.303860592167918
"14","conduit_diam","High Soil pH (Upper 25%)",-0.517749312408873,-0.000495640803205804,0.0248481802343339,-0.0743461204808706,0.791370232674792
"15","conduit_diam","Low Elevation (Lower 25%)",-0.655618590693382,0.00217318837056305,0.102469374780698,0.325978255584458,0.8946256691201
"16","conduit_diam","Low Precipitation (Lower 25%)",-0.71363548618558,-0.000127720630867438,0.0186170379085233,-0.0191580946301156,0.0936129059833548
"17","conduit_diam","Low Soil pH (Lower 25%)",-0.408685411489517,0.000819301494387553,0.0465453623625397,0.122895224158133,0.616267756436664
"18","conduit_diam","Sandy Soils (Lower 25%)",-0.570619237306118,-0.000222932475872482,0.0226554870487919,-0.0334398713808723,0.192590409021897
"19","conduit_diam","Warm Temperatures (Upper 25%)",-0.627092774149371,0.00297329013334759,0.13936594836197,0.445993520002138,0.905307281782931
"20","conduit_diam","Water-Retentive Soils (Upper 25%)",-0.365085972548141,0.000538143524677508,0.0298811401193293,0.0807215287016262,0.645114335704885
"21","height","Cold Temperatures (Lower 25%)",-0.556381553723556,0.00607998632454107,0.296030623348248,0.91199794868116,0.839009172294407
"22","height","High Elevation (Upper 25%)",-0.617033463518413,0.00788745256231636,0.384962328310148,1.18311788434745,0.834971859471669
"23","height","High Precipitation (Upper 25%)",-0.477194374520963,0.00829965818747796,0.39776550696364,1.24494872812169,0.865966232187838
"24","height","High Soil pH (Upper 25%)",-0.515269856899163,0.00696935612535501,0.336522912344444,1.04540341880325,0.853082080865009
"25","height","Low Elevation (Lower 25%)",-0.516423886272618,0.00969960172467123,0.503765819127876,1.45494025870069,0.737369539916873
"26","height","Low Precipitation (Lower 25%)",-0.468121941208462,0.00702053090313749,0.359464940693362,1.05307963547062,0.758685205732355
"27","height","Low Soil pH (Lower 25%)",-0.372846528184291,0.00831842921845542,0.414386238709495,1.24776438276831,0.801506013511849
"28","height","Sandy Soils (Lower 25%)",-0.432769897255284,0.00764716172349247,0.380997751249378,1.14707425852387,0.801291448743846
"29","height","Warm Temperatures (Upper 25%)",-0.412023379081711,0.00888859784221614,0.463790100708395,1.33328967633242,0.730564135835692
"30","height","Water-Retentive Soils (Upper 25%)",-0.511427613806608,0.00768151421697294,0.370498794207628,1.15222713254594,0.854977848285003
