mtry,min.node.size,splitrule,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD,trait,best
2,1,variance,0.65,0.36,0.48,0.03,0.05,0.03,bark_thickness,FALSE
2,5,variance,0.65,0.36,0.48,0.03,0.05,0.03,bark_thickness,FALSE
4,1,variance,0.65,0.36,0.48,0.03,0.05,0.03,bark_thickness,FALSE
4,5,variance,0.65,0.36,0.48,0.03,0.05,0.03,bark_thickness,FALSE
4,10,variance,0.65,0.36,0.48,0.03,0.05,0.03,bark_thickness,FALSE
6,1,variance,0.65,0.35,0.48,0.03,0.06,0.03,bark_thickness,FALSE
6,5,variance,0.65,0.36,0.48,0.03,0.05,0.03,bark_thickness,FALSE
6,10,variance,0.65,0.36,0.48,0.03,0.05,0.03,bark_thickness,FALSE
8,1,variance,0.66,0.35,0.48,0.03,0.05,0.03,bark_thickness,FALSE
8,5,variance,0.65,0.36,0.48,0.03,0.06,0.03,bark_thickness,FALSE
8,10,variance,0.65,0.36,0.48,0.03,0.05,0.03,bark_thickness,FALSE
10,1,variance,0.66,0.34,0.49,0.03,0.06,0.03,bark_thickness,FALSE
10,5,variance,0.66,0.35,0.48,0.03,0.07,0.03,bark_thickness,FALSE
10,10,variance,0.66,0.35,0.48,0.03,0.06,0.03,bark_thickness,FALSE
12,1,variance,0.66,0.34,0.49,0.03,0.06,0.03,bark_thickness,FALSE
12,5,variance,0.66,0.34,0.49,0.03,0.06,0.03,bark_thickness,FALSE
12,10,variance,0.66,0.34,0.49,0.03,0.06,0.03,bark_thickness,FALSE
2,10,variance,0.64,0.37,0.47,0.03,0.05,0.03,bark_thickness,TRUE
2,5,variance,0.66,0.33,0.49,0.05,0.11,0.04,conduit_diam,FALSE
2,10,variance,0.66,0.34,0.49,0.04,0.1,0.03,conduit_diam,FALSE
4,1,variance,0.67,0.33,0.49,0.05,0.1,0.04,conduit_diam,FALSE
4,5,variance,0.66,0.34,0.49,0.05,0.1,0.04,conduit_diam,FALSE
4,10,variance,0.66,0.34,0.49,0.04,0.1,0.03,conduit_diam,FALSE
6,1,variance,0.66,0.33,0.49,0.05,0.1,0.04,conduit_diam,FALSE
6,5,variance,0.66,0.33,0.49,0.05,0.1,0.04,conduit_diam,FALSE
6,10,variance,0.67,0.33,0.49,0.05,0.1,0.04,conduit_diam,FALSE
8,1,variance,0.66,0.33,0.49,0.05,0.11,0.04,conduit_diam,FALSE
8,5,variance,0.66,0.33,0.49,0.05,0.1,0.04,conduit_diam,FALSE
8,10,variance,0.67,0.32,0.49,0.05,0.1,0.04,conduit_diam,FALSE
10,1,variance,0.67,0.32,0.49,0.04,0.09,0.04,conduit_diam,FALSE
10,5,variance,0.67,0.32,0.49,0.05,0.11,0.04,conduit_diam,FALSE
10,10,variance,0.67,0.32,0.49,0.05,0.1,0.04,conduit_diam,FALSE
12,1,variance,0.67,0.32,0.49,0.05,0.1,0.04,conduit_diam,FALSE
12,5,variance,0.67,0.32,0.49,0.05,0.1,0.04,conduit_diam,FALSE
12,10,variance,0.67,0.32,0.49,0.05,0.1,0.04,conduit_diam,FALSE
2,1,variance,0.66,0.34,0.49,0.05,0.1,0.04,conduit_diam,TRUE
2,1,variance,0.65,0.34,0.48,0.05,0.08,0.04,height,FALSE
2,5,variance,0.65,0.34,0.48,0.05,0.09,0.04,height,FALSE
2,10,variance,0.64,0.35,0.48,0.04,0.09,0.03,height,FALSE
4,1,variance,0.64,0.35,0.48,0.05,0.08,0.03,height,FALSE
